title,category,code,name,lecturer,grade,class,season,time
2025年度,理工学部,50311900,理工学サブフィールド,木本　晃　他,4年,専門科目(A5),後期,火１
2025年度,理工学部,50502000,物理学概論Ⅰ,河野　宏明（工）,4年,専門科目(A1),前期,火２
2025年度,理工学部,50504000,物理学実験Ⅰ,山内　一宏,4年,専門科目(A1),前期,集中講義
2025年度,理工学部,50511500,化学概論Ⅰ,山田　泰教　他,4年,専門科目(A1),前期,月４
2025年度,理工学部,50514000,化学実験Ⅰ,坂口　幸一　他,4年,専門科目(A1),前期,集中講義
2025年度,理工学部,50521000,生物学概論Ⅰ,藤澤　知績,4年,専門科目(A1),前期,水３
2025年度,理工学部,50521000,生物学概論Ⅰ,徳留　嘉寛,4年,専門科目(A2),前期,月２
2025年度,理工学部,50521000,生物学概論Ⅰ,長田　聡史,4年,専門科目(A3),前期,月２
2025年度,理工学部,50521000,生物学概論Ⅰ,本島　浩之,4年,専門科目(A4),前期,水３
2025年度,理工学部,50532000,地学実験Ⅰ,高島　千鶴,4年,専門科目(A1),前期,木３
2025年度,理工学部,50542100,工業科教育法Ⅰ,角　和博,4年,専門科目(A1),前期,集中講義
2025年度,理工学部,50543100,職業指導,永田　萬享,4年,専門科目(A1),前期,集中講義
2025年度,理工学部,53705000,基礎解析学Ⅰ,木下　武彦,4年,専門科目(A1),前期,月３
2025年度,理工学部,53705500,基礎解析学Ⅱ,木下　武彦,4年,専門科目(A1),後期,月３
2025年度,理工学部,53710000,ソフトウェア工学,掛下　哲郎,4年,専門科目(A1),後期,月３
2025年度,理工学部,53714000,情報システム実験,掛下　哲郎,4年,専門科目(A1),後期,木４、木５
2025年度,理工学部,53715510,モデリング・シミュレーション実験,皆本　晃弥,4年,専門科目(A1),後期,火４、火５
2025年度,理工学部,53716000,卒業研究,廣友　雅徳　他,4年,専門科目(A1),前期,時間割外
2025年度,理工学部,53719000,数値解析,木村　拓馬,4年,専門科目(A1),後期,金２
2025年度,理工学部,53720000,信号処理,福田　修,4年,専門科目(A1),後期,火２
2025年度,理工学部,53720500,人工知能,岡崎　泰久,4年,専門科目(A1),前期,金３
2025年度,理工学部,53721500,デジタル通信技術,花田　英輔,4年,専門科目(A1),後期,水３
2025年度,理工学部,53722500,情報と職業,掛下　哲郎,4年,専門科目(A1),前期,水１
2025年度,理工学部,53723000,画像情報処理,奥村　浩,4年,専門科目(A1),後期,木３
2025年度,理工学部,53723500,モデリングとシミュレーション,皆本　晃弥,4年,専門科目(A1),後期,火３
2025年度,理工学部,53724000,自主演習,廣友　雅徳　他,4年,３年次(03),前期,集中講義
2025年度,理工学部,53724000,自主演習,上田　俊　他,4年,３年次(06),後期,集中講義
2025年度,理工学部,53790160,情報学特別講義（知能情報システム学コロキ,上田　俊　他,4年,専門科目(A1),前期,時間割外
2025年度,理工学部,53790161,情報学特別講義（並列分散処理）,松前　　進,4年,専門科目(A1),前期,月３
2025年度,理工学部,53790162,情報学特別講義（ゲーム理論と最適化手法）,上田　俊,4年,専門科目(A1),後期,金３
2025年度,理工学部,53790163,情報学特別講義（ネットワークシステム）,大谷　誠,4年,専門科目(A1),後期,金１
2025年度,理工学部,54707000,科学英語Ⅰ,成田　貴行　他,4年,専門科目(A1),前期,火２
2025年度,理工学部,54707500,科学英語Ⅱ,,,専門科目(A1),,
2025年度,理工学部,54707600,技術英語Ⅰ,川喜田　英孝　他,4年,専門科目(A1),前期,水６
2025年度,理工学部,54707700,技術英語Ⅱ,川喜田　英孝　他,4年,専門科目(A1),後期,水６
2025年度,理工学部,54709000,機能物質化学実験Ⅲ,,,専門科目(A1),,
2025年度,理工学部,54709500,機能物質化学実験Ⅳ,,,専門科目(A1),,
2025年度,理工学部,54710000,卒業研究,川喜田　英孝　他,4年,専門科目(A1),前期,時間割外
